date,order_update,transaction_cancel,stock_status_update,order_delete,order_new,market_quote,transaction
20170505,68494.5,0,42133.5,6868.5,9707,8102416,593517
20170506,0,0,0,0,0,0,0
20170507,0,0,0,0,0,0,0
20170508,77152,0,42156,8136.5,10815.5,7258571.5,506449
20170509,95461.5,0,42340.5,8527.5,11392,7915234,536772.5
20170510,57800.5,0,42439.5,5833,8734.5,7767590,641931.5
20170511,76162,0,42363,6729,9711.5,7241361,583449.5
20170512,76965.5,0,42606,6120.5,8823.5,6451678.5,496114.5
20170513,0,0,0,0,0,0,0
20170514,0,0,0,0,0,0,0
20170515,58279,0,42763.5,4974,7567.5,6023566,577779.5
20170516,52435.5,0,43033.5,4055.5,6920.5,6324823,589101.5
20170517,59667,0,43389,4533,7309,5883453.5,555138
20170518,80984.5,0,43767,5771.5,9587.5,7580374,653331
20170519,74114.5,0,43933.5,4993.5,7694,6396173.5,531002
20170520,0,0,0,0,0,0,0
20170521,0,0,0,0,0,0,0
20170522,74282.5,0,44307,4931,7271,6910913,561574.5
20170523,88271.5,0,44451,6797.5,9376,7456925,624994.5
20170524,73154,0,44649,5947.5,8653,6722533,539990
20170525,66962.5,0,44869.5,6304.5,8967.5,6410647,570283.5
20170526,68299,0,44806.5,6334,8942.5,5623800.5,492779
20170527,0,0,0,0,0,0,0
20170528,0,0,0,0,0,0,0
20170529,44349,0,45076.5,3312.5,5704,5076827.5,449398.5
20170530,0,0,0,0,0,0,0
20170531,56956.5,0,45036,3978.5,6703.5,7174948.5,755579
20170601,69576.5,0,44811,3767,6638.5,6848906.5,624249.5
20170602,62688,0,45090,2926.5,5561,6209777,596299.5
20170603,0,0,0,0,0,0,0
20170604,0,0,0,0,0,0,0
20170605,62351.5,0,44802,2790,5430.5,6007920,552963
20170606,49586.5,0,44563.5,2356.5,4955,5898425,544613.5
20170607,51385,0,44712,2327.5,5009,6369251.5,630841
20170608,57924.5,0,44919,2779.5,5712.5,6192104,594932
20170609,71442,0,45180,3160.5,6364,7970217.5,708402
20170610,0,0,0,0,0,0,0
20170611,0,0,0,0,0,0,0
20170612,72081,0,45391.5,2941.5,6247,7697200.5,613054.5
20170613,59441,0,45405,3044,6305.5,6677267,600908.5
20170614,72759,0,45544.5,3183,6740.5,7020257,595894
20170615,68300.5,0,45891,3423,7045.5,7310676.5,582171
20170616,65968.5,0,46116,3031,6640,6680158.5,542441.5
20170617,0,0,0,0,0,0,0
20170618,0,0,0,0,0,0,0
20170619,59116.5,0,46183.5,2403.5,5858,6320982,502770
20170620,69388.5,0,46255.5,2861.5,5822,6563825.5,509592
20170621,105362.5,0,46350,3922.5,8424.5,9084628,575176
20170622,99745,0,46476,4285.5,8250.5,8536450,577239
20170623,82426.5,0,46530,4313,7948,7256773.5,481267
20170624,0,0,0,0,0,0,0
20170625,0,0,0,0,0,0,0
20170626,78597.5,0,46566,5423.5,9135.5,6692360,502616.5
20170627,73560,0,46593,5581.5,9105,6733679.5,601656
20170628,71291,0,46543.5,5731.5,9441,6738667.5,591066
20170629,68286,0,46552.5,5230,8727,6131879,574418.5
20170630,82909.5,0,46224,5858,9679,7178568.5,588768
20170701,0,0,0,0,0,0,0
20170702,0,0,0,0,0,0,0
20170703,58970.5,0,45895.5,5030.5,8691,6273228.5,561576.5
20170704,107431.5,0,45823.5,7060.5,11662,9712784,639974.5
20170705,97609,0,45144,5617.5,9403.5,8744704.5,555261
20170706,93336,0,44950.5,5244.5,8656.5,7652614.5,575287
20170707,84428.5,0,45090,4847,7543.5,6370497.5,511034.5
20170708,0,0,0,0,0,0,0
20170709,0,0,0,0,0,0,0
20170710,89673.5,0,45225,5900,8631,6974839,552804
20170711,84044,0,45517.5,6799,9716.5,7272563.5,596783
20170712,74632,0,45639,7726.5,10699.5,7357557.5,611646
20170713,68696.5,0,45657,6773.5,10228.5,6902319.5,672995.5
20170714,61987,0,45666,6100,9717,5579316,534700
20170715,0,0,0,0,0,0,0
20170716,0,0,0,0,0,0,0
20170717,67184,0,45814.5,9000,12680,7744040.5,630507.5
20170718,65687,0,46030.5,6865,10361,6363418,584221.5
20170719,57802.5,0,46390.5,6796.5,10037,6400092.5,656244
20170720,55879,0,46989,4716,9210.5,6118193,638102.5
20170721,65224,0,47214,4238,8397.5,5941418.5,579872.5
20170722,0,0,0,0,0,0,0
20170723,0,0,0,0,0,0,0
20170724,63103,0,47763,4681.5,8773,6235183,575348.5
20170725,57755,0,47947.5,4769.5,8584,5405374,523384
20170726,67239,0,48442.5,5474.5,9449,6347685.5,584443
20170727,53891,0,48874.5,5049.5,8804.5,6355953,604840.5
20170728,62914.5,0,48987,4243.5,8065.5,5900057.5,511863
20170729,0,0,0,0,0,0,0
20170730,0,0,0,0,0,0,0
